Perfil;Campus;LOTACAO;CAP;Proquali;Acoesdesenv;Apoio;CHdocente;CHTAE;Qualivida;Saudeocupacional;DivulCarreira;Ambiente;Motivacao;ORGCOL[DIVDEC];ORGCOL[IMPLDEC];ORGCOL[REPORGCOL];AVALIASETORES[REIT];AVALIASETORES[PROAE];AVALIASETORES[PROPP];AVALIASETORES[PRGRA];AVALIASETORES[PROEX];AVALIASETORES[PRCUL];AVALIASETORES[PRINF];AVALIASETORES[PRGPE];AVALIASETORES[PRGEF];AVALIASETORES[PROPLAN];AVALIASETORES[PRINOV];AVALIASETORES[PRODAV];AVALIASETORES[DRI];AVALIASETORES[DII];AVALIASETORES[DSP];AVALIASETORES[DIAAF];AVALIASETORES[DCI];AVALIASETORES[DIRGGV];AVALIASETORES[DUX];AVALIASETORES[CDX];ESTREG;REGUNI;CPA;APLRF[DAtEn];APLRF[DAtPe];APLRF[DAtEx];APLRF[DAtInov];APLRF[AqEqi];APLRF[MAREF];APLRF[InCapS];APLRF[BProj];APLRF[BMoTP];TrInv;ABERTA
Servidor(a) TAE  (Técnico-administrativo em Educação);UFJF - Campus Juiz de Fora;"Setor administrativo ligado à Administração Superior (Reitoria; Pró-Reitorias; Diretorias; Órgãos Suplementares)";Não sei / Não se aplica;Não sei / Não se aplica;Não sei / Não se aplica;Não sei / Não se aplica;Não sei / Não se aplica;Não sei / Não se aplica;Não sei / Não se aplica;Não sei / Não se aplica;Discordo;Concordo;Concordo;Discordo;Não sei / Não se aplica;Não sei / Não se aplica;Concordo;Não sei / Não se aplica;Não sei / Não se aplica;Não sei / Não se aplica;Concordo;Não sei / Não se aplica;Concordo;Concordo;Não sei / Não se aplica;Não sei / Não se aplica;Não sei / Não se aplica;Não sei / Não se aplica;Não sei / Não se aplica;Não concordo nem discordo;Não sei / Não se aplica;Não sei / Não se aplica;Não sei / Não se aplica;Não sei / Não se aplica;Concordo;Não sei / Não se aplica;Não concordo nem discordo;Não sei / Não se aplica;Discordo;Não concordo nem discordo;Não sei / Não se aplica;Discordo;Não sei / Não se aplica;Concordo;Não concordo nem discordo;Não sei / Não se aplica;Discordo totalmente;Não sei / Não se aplica;Não concordo nem discordo;
Servidor(a) Docente.;UFJF - Campus Governador Valadares;Instituto de Ciências da Vida (ICV) – Governador Valadares;Discordo totalmente;Concordo;Não concordo nem discordo;Discordo;Discordo;Discordo;Discordo;Discordo;Concordo;Discordo totalmente;Discordo;Discordo;Discordo;Concordo;Concordo;Não concordo nem discordo;Concordo;Concordo;Concordo;Discordo;Não concordo nem discordo;Concordo;Não concordo nem discordo;Não concordo nem discordo;Não concordo nem discordo;Não concordo nem discordo;Não concordo nem discordo;Discordo;Não concordo nem discordo;Não concordo nem discordo;Não concordo nem discordo;Discordo totalmente;Discordo;Concordo;Concordo;Concordo;Discordo;Concordo;Discordo;Discordo;Discordo;Discordo;Discordo;Discordo;Discordo;Concordo;Discordo;
Servidor(a) TAE  (Técnico-administrativo em Educação);UFJF - Campus Juiz de Fora;ICB – Instituto de Ciências Biológicas;Concordo;Concordo;Concordo;Concordo;Não sei / Não se aplica;Concordo totalmente;Discordo;Não sei / Não se aplica;Discordo;Concordo totalmente;Concordo totalmente;Discordo;Concordo;Discordo;Discordo;Discordo;Concordo;Concordo;Discordo;Concordo;Discordo;Concordo;Discordo;Discordo;Discordo;Discordo;Concordo;Discordo;Concordo;Concordo;Concordo;Não sei / Não se aplica;Concordo totalmente;Não sei / Não se aplica;Discordo;Não sei / Não se aplica;Discordo totalmente;Concordo;Concordo;Discordo;Discordo;Concordo;Discordo totalmente;Concordo;Não concordo nem discordo;Não concordo nem discordo;Discordo;É preciso melhorar a acessibilidade da UFJF (física, acadêmica e comunicacional) e ampliar a divulgação das pesquisas e trabalhos sendo realizados na Instituição.
Servidor(a) TAE  (Técnico-administrativo em Educação);UFJF - Campus Juiz de Fora;IAD – Instituto de Artes e Design;Concordo;Concordo;Não concordo nem discordo;Não concordo nem discordo;Discordo;Concordo;Discordo;Discordo;Concordo;Concordo;Não concordo nem discordo;Discordo;Discordo;Discordo;Não sei / Não se aplica;Não sei / Não se aplica;Não sei / Não se aplica;Concordo;Não sei / Não se aplica;Não sei / Não se aplica;Discordo;Discordo;Discordo;Discordo;Não sei / Não se aplica;Não sei / Não se aplica;Não sei / Não se aplica;Discordo;Discordo;Discordo;Discordo;Não sei / Não se aplica;Discordo;Discordo;Discordo;Não concordo nem discordo;Discordo;Não sei / Não se aplica;Não sei / Não se aplica;Não sei / Não se aplica;Discordo;Discordo;Discordo;Não concordo nem discordo;Não sei / Não se aplica;Não sei / Não se aplica;Discordo;"Distância com relação à saúde do servidor devido à ""terceirização"" deste serviço ao Siass e Cossbe que não trabalham a contento e não se importam com a saúde do servidor. A UFJF deveria ter mais interesse em fazer o acompanhamento da saúde dos servidores trabalhando mais próximo deste setor, fazendo levantamento de servidores em licença, fazendo um gráfico para observar o aumento ou diminuição de licenças por saúde e orientar os médicos a fazerem uma perícia decente e que tenha o objetivo de servir ao trabalhador doente e não servir ao Estado, como se fosse uma instituição capitalista com fins lucrativos. Sempre falta recurso para questões estruturais e básicas enquanto parece que sobra para pesquisas inúteis que possuem 300 bolsistas, então os recursos não parecem que estão sendo empregados de forma justa e proporcional. Já trabalhei em outras instituições públicas que tinham a decência de adiantar o pagamento quando dia 31 cai numa sexta, mas a UFJF não pode fazer essa gentileza a seus funcionários. Por que não se a folha já tá fechada há tempos a essa altura? Enfim, pequenas coisas que nos levam a considerar que a maioria dos setores são uma bagunça e que não há consideração com os servidores. Talvez benevolência demais com professores, com licenças a para pós doc e financiamentos de pequisas, enquanto não vemos a mesma benevolência com os TAEs."
Servidor(a) TAE  (Técnico-administrativo em Educação);UFJF - Campus Juiz de Fora;Faculdade de Enfermagem;Concordo totalmente;Concordo totalmente;Concordo totalmente;Concordo;Não sei / Não se aplica;Concordo;Discordo;Não sei / Não se aplica;Concordo totalmente;Concordo totalmente;Concordo totalmente;Concordo;Concordo;Concordo;Concordo;Concordo;Concordo;Concordo;Concordo;Concordo;Concordo totalmente;Concordo totalmente;Concordo totalmente;Concordo;Concordo;Concordo;Concordo totalmente;Concordo totalmente;Concordo totalmente;Concordo totalmente;Concordo totalmente;Não sei / Não se aplica;Concordo totalmente;Concordo totalmente;Concordo totalmente;Concordo totalmente;Não concordo nem discordo;Concordo totalmente;Concordo totalmente;Concordo totalmente;Concordo totalmente;Concordo;Concordo totalmente;Concordo;Concordo totalmente;Concordo totalmente;Concordo;
Servidor(a) Docente.;UFJF - Campus Governador Valadares;Instituto de Ciências da Vida (ICV) – Governador Valadares;Não concordo nem discordo;Não sei / Não se aplica;Concordo;Concordo;Discordo;Não concordo nem discordo;Não concordo nem discordo;Concordo;Concordo;Concordo;Concordo;Não concordo nem discordo;Concordo;Concordo;Concordo;Não sei / Não se aplica;Concordo;Concordo totalmente;Concordo totalmente;Não sei / Não se aplica;Não sei / Não se aplica;Concordo totalmente;Não sei / Não se aplica;Não sei / Não se aplica;Não sei / Não se aplica;Não sei / Não se aplica;Não sei / Não se aplica;Não sei / Não se aplica;Não sei / Não se aplica;Concordo;Não sei / Não se aplica;Concordo totalmente;Concordo totalmente;Concordo totalmente;Concordo totalmente;Concordo totalmente;Não concordo nem discordo;Concordo;Não concordo nem discordo;Não concordo nem discordo;Não sei / Não se aplica;Concordo;Não concordo nem discordo;Não concordo nem discordo;Concordo;Não concordo nem discordo;Não concordo nem discordo;O maior desafio é infraestrutura do departamento de Odontologia em Governador Valadares, que começou a ser resolvido, porém é preciso ainda mais empenho para que seja finalizada a obra. Outra grande dificuldade que posso apontar é a necessidade de mais servidores no departamento, particularmente docentes, a fim de melhorar a qualidade de ensino ofertada.
Servidor(a) Docente.;UFJF - Campus Juiz de Fora;ICB – Instituto de Ciências Biológicas;Discordo;Não concordo nem discordo;Discordo;Não sei / Não se aplica;Não concordo nem discordo;Não concordo nem discordo;Discordo;Discordo;Concordo;Concordo;Concordo;Discordo totalmente;Discordo;Discordo;Discordo;Discordo totalmente;Concordo;Discordo;Concordo;Discordo totalmente;Discordo;Concordo totalmente;Não concordo nem discordo;Discordo totalmente;Discordo;Discordo;Discordo totalmente;Discordo totalmente;Discordo totalmente;Discordo totalmente;Discordo totalmente;Não sei / Não se aplica;Discordo;Não concordo nem discordo;Discordo;Não sei / Não se aplica;Não concordo nem discordo;Discordo totalmente;Discordo totalmente;Discordo;Discordo;Discordo totalmente;Discordo totalmente;Não concordo nem discordo;Discordo;Discordo;Discordo totalmente;"A Universidade está dispencando e não vejo ações concretas para a conteção dos problemas.
Estamos com um calendário acadêmico que nunca se acerta, deixando alunos e professores neuróticos, cansados, irritados, sem férias reais. A CONGRAD vota sem ler.
Estamos com um alta evasão e não há política de agregação da comunidade a UFJF. Ninguém sabe o que produzimos. Não há política de atualização e melhora dos cursos de graduação, não há conversa com os departamentos, a pesquisa tem mais voz que a graduação. Sem graduação não há pesquisa e nem universidade. 
A política de informação é terrível, vários cartazes de cunho ideológico e nada informativo, que não valorizam a universidade.
O SIGA e SEI são dois sistemas independentes, desatualizados, trabalhosos que não se comunicam. Não há qualquer política de atualização do sistema para algo mais eficiente. 
Não há política de expansão e modernização.
Há um centralização sem possibilidade da manifestação das preocupações e demandas das unidades e cursos.
Ou seja, está tudo despencando."
Servidor(a) TAE  (Técnico-administrativo em Educação);UFJF - Campus Juiz de Fora;"Setor administrativo ligado à Administração Superior (Reitoria; Pró-Reitorias; Diretorias; Órgãos Suplementares)";Discordo;Concordo;Não sei / Não se aplica;Discordo;Não sei / Não se aplica;Não concordo nem discordo;Discordo;Discordo;Discordo;Não concordo nem discordo;Não concordo nem discordo;Discordo;Discordo;Discordo;Não sei / Não se aplica;Não sei / Não se aplica;Não sei / Não se aplica;Não sei / Não se aplica;Não sei / Não se aplica;Não sei / Não se aplica;Não concordo nem discordo;Discordo;Discordo;Não sei / Não se aplica;Não sei / Não se aplica;Não concordo nem discordo;Não sei / Não se aplica;Discordo;Concordo;Não sei / Não se aplica;Não concordo nem discordo;Não sei / Não se aplica;Discordo;Concordo;Não concordo nem discordo;Não concordo nem discordo;Não concordo nem discordo;Não concordo nem discordo;Não concordo nem discordo;Não concordo nem discordo;Não concordo nem discordo;Não concordo nem discordo;Não concordo nem discordo;Discordo;Não concordo nem discordo;Não concordo nem discordo;Discordo;A comunicação na UFJF não ocorre com feedback, portanto poderia ser inovada e transparente, e não apenas emitida. Os programas de apoio à formação dos TAES poderia ser aperfeiçoados e inovados, levando-se em consideração as habilidades e não somente o cargo/função.
Servidor(a) TAE  (Técnico-administrativo em Educação);UFJF - Campus Juiz de Fora;"Setor administrativo ligado à Administração Superior (Reitoria; Pró-Reitorias; Diretorias; Órgãos Suplementares)";Discordo;Discordo;Concordo;Concordo;Não sei / Não se aplica;Discordo totalmente;Discordo totalmente;Discordo totalmente;Concordo;Discordo totalmente;Concordo;Discordo totalmente;Discordo totalmente;Discordo totalmente;Concordo;Concordo;Discordo;Concordo;Discordo;Concordo;Concordo;Discordo;Não concordo nem discordo;Discordo;Não concordo nem discordo;Não concordo nem discordo;Não concordo nem discordo;Discordo totalmente;Concordo;Concordo;Discordo;Concordo;Discordo;Não sei / Não se aplica;Discordo;Não sei / Não se aplica;Discordo;Não concordo nem discordo;Não concordo nem discordo;Discordo totalmente;Não concordo nem discordo;Discordo totalmente;Discordo totalmente;Discordo totalmente;Discordo totalmente;Discordo totalmente;Discordo;
Servidor(a) TAE  (Técnico-administrativo em Educação);UFJF - Campus Governador Valadares;"Setor administrativo ligado à Administração Superior (Reitoria; Pró-Reitorias; Diretorias; Órgãos Suplementares)";Não sei / Não se aplica;Discordo;Não sei / Não se aplica;Não sei / Não se aplica;Não sei / Não se aplica;Concordo;Não concordo nem discordo;Não concordo nem discordo;Concordo;Concordo;Concordo;Não concordo nem discordo;Não concordo nem discordo;Concordo;Não sei / Não se aplica;Não sei / Não se aplica;Não sei / Não se aplica;Não sei / Não se aplica;Não sei / Não se aplica;Não sei / Não se aplica;Concordo;Concordo;Não sei / Não se aplica;Não sei / Não se aplica;Não sei / Não se aplica;Não sei / Não se aplica;Não sei / Não se aplica;Concordo;Não sei / Não se aplica;Concordo;Concordo;Concordo;Concordo;Concordo;Não concordo nem discordo;Concordo;Não concordo nem discordo;Concordo;Não sei / Não se aplica;Não sei / Não se aplica;Não sei / Não se aplica;Não sei / Não se aplica;Concordo;Não concordo nem discordo;Não concordo nem discordo;Não concordo nem discordo;Não sei / Não se aplica;As questões foram respondidas com base em pouco tempo que este servidor entrou em exercício. Com isso, teve/ buscou acesso a poucas informações sobre a universidade.
Servidor(a) TAE  (Técnico-administrativo em Educação);UFJF - Campus Juiz de Fora;"Setor administrativo ligado à Administração Superior (Reitoria; Pró-Reitorias; Diretorias; Órgãos Suplementares)";Discordo totalmente;Concordo;Não sei / Não se aplica;Concordo;Não sei / Não se aplica;Discordo totalmente;Discordo;Não sei / Não se aplica;Concordo;Discordo;Não concordo nem discordo;Discordo;Discordo;Não sei / Não se aplica;Não sei / Não se aplica;Não sei / Não se aplica;Não sei / Não se aplica;Não sei / Não se aplica;Não sei / Não se aplica;Não sei / Não se aplica;Concordo;Discordo;Não sei / Não se aplica;Não sei / Não se aplica;Não sei / Não se aplica;Não sei / Não se aplica;Não sei / Não se aplica;Não sei / Não se aplica;Não sei / Não se aplica;Não sei / Não se aplica;Não sei / Não se aplica;Não sei / Não se aplica;Não sei / Não se aplica;Não sei / Não se aplica;Não sei / Não se aplica;Não sei / Não se aplica;Discordo;Não sei / Não se aplica;Não sei / Não se aplica;Não sei / Não se aplica;Não sei / Não se aplica;Não sei / Não se aplica;Não sei / Não se aplica;Não sei / Não se aplica;Não sei / Não se aplica;Não sei / Não se aplica;Não sei / Não se aplica;
Servidor(a) TAE  (Técnico-administrativo em Educação);UFJF - Campus Juiz de Fora;"Setor administrativo ligado à Administração Superior (Reitoria; Pró-Reitorias; Diretorias; Órgãos Suplementares)";Não concordo nem discordo;Concordo;Concordo;Não sei / Não se aplica;Não sei / Não se aplica;Discordo totalmente;Discordo;Concordo;Discordo;Concordo;Discordo;Concordo;Concordo;Discordo totalmente;Discordo;Concordo;Concordo;Concordo;Concordo;Concordo;Discordo;Concordo;Concordo;Discordo;Discordo;Discordo;Discordo;Discordo;Concordo;Concordo;Concordo;Discordo;Concordo;Concordo;Concordo;Concordo;Discordo;Concordo;Discordo;Discordo;Discordo;Concordo;Não concordo nem discordo;Discordo;Concordo;Concordo;Discordo;
Servidor(a) TAE  (Técnico-administrativo em Educação);UFJF - Campus Juiz de Fora;"Setor administrativo ligado à Administração Superior (Reitoria; Pró-Reitorias; Diretorias; Órgãos Suplementares)";Discordo;Discordo totalmente;Não concordo nem discordo;Discordo totalmente;Não concordo nem discordo;Discordo;Discordo totalmente;Discordo totalmente;Concordo;Discordo;Concordo;Concordo;Não concordo nem discordo;Não concordo nem discordo;Discordo;Concordo;Não concordo nem discordo;Discordo;Discordo;Discordo;Discordo;Discordo totalmente;Não concordo nem discordo;Discordo;Discordo totalmente;Discordo;Discordo totalmente;Discordo;Não concordo nem discordo;Não concordo nem discordo;Não concordo nem discordo;Não concordo nem discordo;Concordo;Concordo;Discordo;Discordo;Discordo totalmente;Discordo;Discordo;Discordo;Discordo totalmente;Concordo;Discordo;Discordo;Discordo;Discordo;Não concordo nem discordo;
Servidor(a) Docente.;UFJF - Campus Juiz de Fora;Faculdade de Engenharia;Discordo totalmente;Discordo;Discordo;Não concordo nem discordo;Discordo;Discordo totalmente;Discordo totalmente;Não concordo nem discordo;Concordo;Concordo;Discordo;Concordo;Discordo;Concordo;Não concordo nem discordo;Não concordo nem discordo;Não concordo nem discordo;Concordo;Concordo;Não concordo nem discordo;Discordo;Concordo;Não concordo nem discordo;Discordo;Concordo;Não concordo nem discordo;Concordo;Não concordo nem discordo;Não concordo nem discordo;Não concordo nem discordo;Não sei / Não se aplica;Não sei / Não se aplica;Concordo;Concordo totalmente;Não concordo nem discordo;Concordo;Discordo totalmente;Discordo totalmente;Discordo totalmente;Discordo totalmente;Discordo totalmente;Discordo totalmente;Discordo totalmente;Discordo totalmente;Discordo totalmente;Discordo totalmente;Concordo totalmente;A UFJF tem muito a melhorar. Penso, a médio prazo de mudar de universidade de uma forma ou de outras.
Servidor(a) TAE  (Técnico-administrativo em Educação);UFJF - Campus Juiz de Fora;"Setor administrativo ligado à Administração Superior (Reitoria; Pró-Reitorias; Diretorias; Órgãos Suplementares)";Concordo;Concordo;Não concordo nem discordo;Não concordo nem discordo;Não concordo nem discordo;Concordo;Concordo;Concordo;Concordo;Concordo;Concordo;Não concordo nem discordo;Discordo;Concordo;Não concordo nem discordo;Não concordo nem discordo;Não concordo nem discordo;Não concordo nem discordo;Não concordo nem discordo;Não concordo nem discordo;Não concordo nem discordo;Concordo;Não concordo nem discordo;Não concordo nem discordo;Não concordo nem discordo;Não concordo nem discordo;Não concordo nem discordo;Discordo;Não concordo nem discordo;Não concordo nem discordo;Não concordo nem discordo;Não concordo nem discordo;Concordo;Concordo;Concordo;Concordo;Não concordo nem discordo;Concordo;Concordo;Discordo;Concordo;Discordo;Não concordo nem discordo;Não concordo nem discordo;Discordo;Discordo;Não concordo nem discordo;
Servidor(a) Docente.;UFJF - Campus Juiz de Fora;Faculdade de Letras;Discordo;Não sei / Não se aplica;Concordo;Discordo;Discordo totalmente;Não sei / Não se aplica;Não sei / Não se aplica;Não sei / Não se aplica;Concordo;Concordo;Concordo;Discordo totalmente;Concordo;Discordo;Discordo totalmente;Concordo;Não concordo nem discordo;Discordo totalmente;Discordo totalmente;Não sei / Não se aplica;Discordo totalmente;Discordo;Não sei / Não se aplica;Discordo;Não sei / Não se aplica;Discordo;Discordo;Discordo totalmente;Discordo totalmente;Não sei / Não se aplica;Não sei / Não se aplica;Não sei / Não se aplica;Concordo;Concordo totalmente;Discordo totalmente;Discordo totalmente;Concordo;Discordo totalmente;Discordo totalmente;Discordo totalmente;Discordo totalmente;Discordo totalmente;Discordo totalmente;Discordo totalmente;Discordo totalmente;Concordo totalmente;Discordo totalmente;"Na Faculdade de Letras, o Infocentro com 10 computadores não tem ar condicionado, colocando o patrimônio público em situação precária para sua conservação (há ainda 2 ventiladores quebrados na mesma sala). O anfiteatro compartilhado com o ICB, onde há até ministração de aulas do ICB, está caindo aos pedaços há muitos anos e nada está sendo feito para sua manutenção. A administração superior trocou as fechaduras dos gabinetes por modelos eletrônicos, mas agora os docentes precisam comprar as pilhas para mantê-las funcionando, já que as pilhas compradas por licitação ""estão descarregando rápido demais, muitas estão vazando e oxidando os contatos, danificando as fechaduras"", conforme palavras da nossa diretora de unidade. No final de 2024, houve muitas reuniões importantes do CONGRAD canceladas por falta de quórum. É preciso rever a normativa que desvaloriza os docentes presentes. A CDARA precisa urgentemente de mais funcionários, pois processos de alteração curricular estão demorando muitos ANOS para serem implementados, sobrecarregando coordenadores e confundindo alunos (um processo aberto em 2021, para alteração de currículo, só foi concluído agora em janeiro de 2025, por exemplo)."
Servidor(a) TAE  (Técnico-administrativo em Educação);UFJF - Campus Juiz de Fora;"Setor administrativo ligado à Administração Superior (Reitoria; Pró-Reitorias; Diretorias; Órgãos Suplementares)";Discordo;Concordo;Concordo;Discordo;Não sei / Não se aplica;Concordo;Concordo;Concordo;Discordo;Concordo;Concordo;Concordo;Concordo;Discordo;Concordo;Concordo;Concordo;Concordo;Concordo;Concordo;Concordo totalmente;Discordo;Concordo;Concordo;Concordo;Concordo totalmente;Concordo;Concordo;Concordo;Concordo totalmente;Concordo totalmente;Concordo totalmente;Não sei / Não se aplica;Concordo totalmente;Concordo;Concordo;Concordo totalmente;Concordo;Concordo;Concordo;Concordo;Concordo;Discordo;Discordo;Concordo;Discordo;Concordo;
Servidor(a) TAE  (Técnico-administrativo em Educação);UFJF - Campus Governador Valadares;"Setor administrativo ligado à Administração Superior (Reitoria; Pró-Reitorias; Diretorias; Órgãos Suplementares)";Discordo;Não sei / Não se aplica;Não sei / Não se aplica;Não concordo nem discordo;Não sei / Não se aplica;Concordo;Não concordo nem discordo;Não concordo nem discordo;Discordo;Concordo;Discordo;Não concordo nem discordo;Não concordo nem discordo;Não concordo nem discordo;Não concordo nem discordo;Não concordo nem discordo;Não concordo nem discordo;Não concordo nem discordo;Não concordo nem discordo;Não concordo nem discordo;Não concordo nem discordo;Não concordo nem discordo;Não concordo nem discordo;Não concordo nem discordo;Não concordo nem discordo;Não concordo nem discordo;Não concordo nem discordo;Não concordo nem discordo;Não concordo nem discordo;Não concordo nem discordo;Não concordo nem discordo;Não concordo nem discordo;Concordo;Não concordo nem discordo;Não concordo nem discordo;Não sei / Não se aplica;Não concordo nem discordo;Não sei / Não se aplica;Não sei / Não se aplica;Não sei / Não se aplica;Não sei / Não se aplica;Discordo;Não concordo nem discordo;Discordo;Não sei / Não se aplica;Não sei / Não se aplica;Não concordo nem discordo;
Servidor(a) TAE  (Técnico-administrativo em Educação);UFJF - Campus Juiz de Fora;Faculdade de Direito;Concordo totalmente;Concordo;Concordo totalmente;Não sei / Não se aplica;Não sei / Não se aplica;Não concordo nem discordo;Concordo;Concordo;Discordo;Concordo totalmente;Concordo;Discordo;Discordo;Concordo;Concordo;Concordo;Concordo;Concordo;Concordo;Concordo;Concordo;Concordo;Concordo;Concordo;Concordo;Concordo;Concordo;Concordo;Concordo;Concordo;Concordo;Concordo;Concordo;Concordo;Concordo;Concordo;Discordo;Concordo;Concordo;Concordo;Concordo;Concordo;Concordo;Concordo;Concordo;Concordo;Concordo;
Servidor(a) Docente.;UFJF - Campus Juiz de Fora;ICE – Instituto de Ciências Exatas;Não sei / Não se aplica;Não sei / Não se aplica;Não sei / Não se aplica;Não sei / Não se aplica;Não concordo nem discordo;Não concordo nem discordo;Não sei / Não se aplica;Discordo totalmente;Discordo;Discordo;Discordo;Discordo;Discordo;Discordo;Não concordo nem discordo;Não concordo nem discordo;Não concordo nem discordo;Não concordo nem discordo;Não concordo nem discordo;Não concordo nem discordo;Discordo totalmente;Não concordo nem discordo;Não concordo nem discordo;Não concordo nem discordo;Não concordo nem discordo;Não concordo nem discordo;Não concordo nem discordo;Discordo;Concordo totalmente;Não concordo nem discordo;Não concordo nem discordo;Não concordo nem discordo;Concordo totalmente;Discordo;Não sei / Não se aplica;Não sei / Não se aplica;Discordo totalmente;Discordo totalmente;Discordo totalmente;Discordo totalmente;Não sei / Não se aplica;Discordo totalmente;Discordo totalmente;Não sei / Não se aplica;Discordo totalmente;Discordo totalmente;Não concordo nem discordo;
